OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-30866,2023-171H,2025-11-05T02:07:44.571648,15.02529876,.00011103,43.0034,242.9199,263.9060,96.1656,0,U,58237,999,11098,.10123038E-3,.1164E-4,0
STARLINK-30817,2023-171J,2025-11-04T20:32:46.747968,15.02521395,.00012081,43.0041,244.6097,274.6534,85.4170,0,U,58238,999,11094,.10367997E-3,.1197E-4,0
STARLINK-30847,2023-171K,2025-11-05T03:00:28.894752,15.02531168,.00011152,43.0041,243.1962,274.9838,85.0877,0,U,58239,999,11098,-.28180446E-4,-.584E-5,0
STARLINK-30848,2023-171L,2025-11-04T19:22:58.391328,15.02529775,.00005651,43.0023,245.9438,278.9078,81.1700,0,U,58240,999,11092,-.65861928E-4,-.1093E-4,0
STARLINK-30843,2023-171M,2025-11-05T03:05:15.928512,15.02538814,.00007895,43.0029,243.2086,269.8356,90.2396,0,U,58241,999,11100,-.4313075E-5,-.262E-5,0
STARLINK-30877,2023-171N,2025-11-05T02:12:32.931648,15.02516326,.0001752,43.0076,242.9413,270.0792,89.9850,0,U,58242,999,11098,-.1315836E-3,-.198E-4,0
STARLINK-30864,2023-171P,2025-11-04T20:51:47.148480,15.02535206,.00008518,43.0014,243.8599,272.8733,87.2012,0,U,58243,999,11085,-.24952737E-4,-.541E-5,0
STARLINK-30854,2023-171Q,2025-11-05T03:02:25.962432,15.02526558,.00014526,43.0040,244.0534,271.8856,88.1820,0,U,58244,999,11097,-.36905462E-4,-.702E-5,0
STARLINK-30849,2023-171R,2025-11-04T20:56:35.498112,15.02543782,.00015902,43.0024,243.8853,249.2669,110.8003,0,U,58245,999,11095,.53661373E-3,.7054E-4,0
STARLINK-30886,2023-171S,2025-11-04T21:06:10.693152,15.02532805,.00009288,43.0024,243.9316,274.1308,85.9429,0,U,58246,999,11095,-.27654902E-4,-.577E-5,0
STARLINK-30850,2023-171T,2025-11-04T21:01:23.123712,15.02538583,.00006324,43.0039,243.9092,266.1897,93.8873,0,U,58247,999,11095,-.82181235E-4,-.1313E-4,0
STARLINK-30823,2023-171U,2025-11-05T01:58:08.739840,15.02532403,.00011999,43.0074,242.8734,263.9025,96.1681,0,U,58248,999,11098,-.37116504E-4,-.705E-5,0
STARLINK-30873,2023-171V,2025-11-05T02:02:56.475168,15.02534025,.00010993,43.0024,242.8975,274.5566,85.5151,0,U,58249,999,11098,-.76323479E-4,-.1234E-4,0
STARLINK-30808,2023-171W,2025-11-05T02:43:24.641760,15.02530062,.00009688,43.0037,244.7862,274.6169,85.4562,0,U,58250,999,11096,.63142302E-4,.649E-5,0
STARLINK-30881,2023-171X,2025-11-05T06:21:38.790720,15.02434931,.00004418,43.0028,242.4355,302.8763,57.2037,0,U,58251,999,11100,-.9267487E-3,-.12666E-3,0
STARLINK-30883,2023-171Y,2025-11-05T02:17:19.582656,15.02528886,.00013016,43.0048,242.9643,266.4106,93.6587,0,U,58252,999,11098,-.99980765E-4,-.1554E-4,0
ZHONGXING-6E,2023-172A,2025-11-05T06:32:01.505760,1.00271866,.0003192,0.0078,223.8664,81.0077,313.4393,0,U,58253,999,741,0,-.35E-5,0
CONNECTA T3.1,2023-174A,2025-11-05T04:38:59.178336,15.91779040,.00071394,97.3854,37.7319,266.0237,94.0221,0,U,58256,999,11163,.18354862E-2,.597092E-2,.14323715E-3
ORBASTRO-PC-1,2023-174C,2025-11-05T07:11:58.479360,15.37383825,.00068986,97.4001,27.1504,255.4008,104.6471,0,U,58258,999,11094,.5870096E-3,.21478E-3,0
LEMUR-2-BASS,2023-174D,2025-11-05T04:19:24.671424,15.34880470,.00073929,97.4052,26.8933,251.8154,108.2285,0,U,58259,999,11090,.49132491E-3,.16569E-3,0
PLATERO,2023-174G,2025-11-05T04:34:59.464128,15.47371914,.00069217,97.4098,34.3824,209.7257,150.3600,0,U,58262,999,11136,.44040695E-3,.2248E-3,0
BRO-11,2023-174J,2025-11-05T06:05:01.332960,15.24309056,.0009552,97.4153,23.3234,278.8551,81.1605,0,U,58264,999,11060,.25185328E-3,.6092E-4,0
PEARL 1H,2023-174K,2025-11-05T06:57:03.106656,15.64610701,.00055161,97.3925,33.6497,236.9169,123.1561,0,U,58265,999,11139,.13150072E-2,.128694E-2,0
FLOCK 4Q-16,2023-174R,2025-11-05T04:33:40.411584,15.38207684,.00073323,97.4044,28.6952,244.7432,115.3054,0,U,58271,999,11101,.51496114E-3,.19338E-3,0
TIGER-6,2023-174S,2025-11-05T05:33:51.504768,15.50106422,.00044292,97.4086,32.4787,224.2178,135.8720,0,U,58272,999,11125,.84971219E-3,.47938E-3,0
FLOCK 4Q-11,2023-174T,2025-11-05T05:21:55.750752,15.38510516,.00069846,97.4080,29.0847,241.2412,118.8132,0,U,58273,999,11102,.5279556E-3,.20024E-3,0
FLOCK 4Q-36,2023-174U,2025-11-05T05:21:58.839552,15.42660439,.00071276,97.4079,30.7786,234.9287,125.1292,0,U,58274,999,11113,.65207464E-3,.28416E-3,0
FLOCK 4Q-12,2023-174V,2025-11-05T05:05:58.591680,15.42630662,.00060396,97.4051,30.7317,232.5157,127.5542,0,U,58275,999,11115,.56509819E-3,.24572E-3,0
GENMAT-1,2023-174W,2025-11-05T03:59:36.247200,15.28985797,.0006336,97.3928,22.8480,260.4680,99.5844,0,U,58276,999,11067,.44750735E-3,.12537E-3,0
TIGER-5,2023-174X,2025-11-05T04:29:10.243968,15.53312151,.00046876,97.4062,33.1511,219.1126,140.9789,0,U,58277,999,11130,.79335798E-3,.50188E-3,0
FLOCK 4Q-28,2023-174AA,2025-11-05T05:06:15.554592,15.40997427,.00066954,97.4086,30.2417,232.7852,127.2784,0,U,58280,999,11109,.59456651E-3,.24493E-3,0
AETHER-1,2023-174AB,2025-11-05T05:12:57.184128,15.43114159,.00063043,97.4074,29.7413,233.5391,126.5276,0,U,58281,999,11106,.9278998E-3,.41152E-3,0
FLOCK 4Q-27,2023-174AC,2025-11-05T04:52:32.390688,15.41028069,.00060168,97.4034,29.8794,226.9919,133.0824,0,U,58282,999,11110,.59864729E-3,.24684E-3,0
FLOCK 4Q-17,2023-174AD,2025-11-05T05:21:47.059776,15.47044247,.00055861,97.4025,31.7798,228.7157,131.3612,0,U,58283,999,11123,.75629648E-3,.383E-3,0
FLOCK 4Q-26,2023-174AE,2025-11-05T04:13:05.503296,15.42399962,.00067598,97.4082,30.8948,233.5841,126.4784,0,U,58284,999,11113,.64658795E-3,.27928E-3,0
FLOCK 4Q-31,2023-174AF,2025-11-05T05:22:13.728864,15.41600808,.00077055,97.4117,30.6345,235.4554,124.5966,0,U,58285,999,11110,.60400242E-3,.25395E-3,0
FLOCK 4Q-30,2023-174AG,2025-11-05T03:49:05.280960,15.41714055,.0007557,97.4122,30.7168,230.2399,129.8183,0,U,58286,999,11110,.53915001E-3,.22736E-3,0
PICO-01B009,2023-174AH,2025-11-05T07:03:06.944832,15.47569607,.00051635,97.4013,31.5327,213.8096,146.2825,0,U,58287,999,11122,.77515825E-3,.39982E-3,0
ICEYE-X31,2023-174AJ,2025-11-05T07:40:55.867584,15.25951452,.00034366,97.4044,21.1552,54.7154,305.4406,0,U,58288,999,11051,.63418095E-3,.16232E-3,0
FALCONSAT-10,2023-174AM,2025-11-05T03:54:35.876736,15.24829511,.00074637,97.4063,22.5872,255.5100,104.5309,0,U,58291,999,11059,.24671599E-3,.6058E-4,0
UMBRA-08,2023-174AN,2025-11-05T04:05:04.724448,15.57484907,.0002488,97.3927,26.4624,251.7929,108.3056,0,U,58292,999,11088,.23958064E-2,.17963E-2,0
ICEYE-X34,2023-174AQ,2025-11-05T05:17:27.136608,15.39896359,.00063449,97.4088,29.1245,237.2996,122.7638,0,U,58294,999,11102,.67335225E-3,.26766E-3,0
SPACEVAN-001,2023-174AR,2025-11-05T08:22:14.231712,15.55755468,.0008077,97.4063,33.1003,215.0751,144.9972,0,U,58295,999,11131,.3216E-4,.2114E-4,0
PELICAN-3001,2023-174AS,2025-11-05T05:10:00.928128,15.51408139,.00085325,97.4146,34.3406,24.7831,335.3829,0,U,58296,999,11120,.81274759E-3,.48063E-3,0
UMBRA-07,2023-174AT,2025-11-05T03:58:04.127520,15.03671036,.00054861,97.4123,8.8241,118.3715,241.8065,0,U,58297,999,10968,.74568405E-3,.10166E-3,0
